#{"env_id": null, "t_start": 1589010681.6361809}
r,l,t,score
0,80,5473.940528,0
0,76,5475.40177,0
88,997,5490.429062,88
140,445,5497.647628,140
230,1587,5521.364572,230
154,584,5530.554608,154
98,400,5536.594225,98
230,2067,5568.148759,230
216,380,5573.94316,216
186,883,5587.156646,186
157,1050,5602.473536,157
229,1052,5617.84691,229
131,757,5629.080764,131
58,356,5634.444679,58
117,695,5644.611154,117
186,469,5651.068432,186
128,737,5662.331051,128
129,297,5666.595462,129
122,726,5677.541315,122
201,633,5686.789065,201
147,1116,5703.386615,147
178,1124,5719.512118,178
105,866,5732.370544,105
142,774,5743.764133,142
30,281,5747.899826,30
50,216,5751.32803,50
82,583,5760.415402,82
57,1003,5775.616323,57
50,849,5787.99533,50
140,1562,5811.197673,140
86,454,5818.364942,86
185,932,5832.273526,185
143,1036,5847.909659,143
140,458,5855.124149,140
167,1267,5874.294777,167
136,482,5881.893062,136
154,412,5888.182677,154
172,1110,5904.98073,172
125,555,5914.090255,125
95,306,5918.626031,95
147,1124,5936.243335,147
150,803,5948.135828,150
157,539,5956.170682,157
67,142,5958.852671,67
50,1493,5981.781174,50
153,636,5991.625631,153
201,1054,6007.323306,201
148,1341,6028.039092,148
194,682,6038.355032,194
58,338,6043.868209,58
150,665,6054.087222,150
241,691,6064.336687,241
122,167,6067.253004,122
158,851,6079.971905,158
176,486,6087.5055,176
160,500,6095.220003,160
149,579,6104.310807,149
202,510,6112.148962,202
192,808,6124.220597,192
106,697,6134.760569,106
118,585,6143.997562,118
84,379,6149.910745,84
150,1008,6165.608278,150
183,1434,6187.023,183
147,901,6201.061812,147
161,379,6207.012965,161
140,745,6218.968482,140
180,487,6226.601548,180
199,915,6240.707439,199
173,1431,6262.41842,173
106,522,6270.448351,106
138,975,6285.369836,138
85,430,6291.776236,85
30,704,6302.50251,30
49,1085,6319.757804,49
33,169,6322.231039,33
29,434,6329.512213,29
92,854,6342.504587,92
56,523,6350.676374,56
100,460,6357.941531,100
84,380,6364.007224,84
149,608,6373.407964,149
84,512,6381.353205,84
108,419,6387.588853,108
78,312,6392.183058,78
114,526,6400.87386,114
127,353,6405.953561,127
136,557,6414.89214,136
162,437,6421.026295,162
192,1777,6444.846733,192
171,1046,6458.984235,171
174,449,6466.296563,174
78,395,6472.464998,78
152,1001,6488.200552,152
144,1406,6509.956291,144
144,454,6516.569767,144
273,608,6526.06837,273
90,259,6530.116056,90
213,1146,6547.576516,213
91,170,6550.099907,91
125,552,6558.491146,125
100,725,6569.848916,100
145,1426,6591.782465,145
133,513,6599.552616,133
283,1318,6620.07654,283
201,663,6630.31116,201
196,410,6636.655018,196
214,1324,6656.882283,214
128,333,6662.173676,128
164,381,6668.018403,164
199,633,6677.68204,199
144,713,6688.359852,144
144,1296,6708.887497,144
51,209,6711.794412,51
69,234,6715.579053,69
178,503,6723.432493,178
220,1310,7028.229171,220
181,1013,7043.83741,181
145,390,7049.95342,145
161,634,7059.649881,161
82,189,7062.906821,82
213,1500,7085.68742,213
210,1053,7101.787907,210
155,652,7112.380967,155
149,365,7117.584578,149
145,753,7129.135941,145
106,270,7133.305984,106
60,131,7135.323671,60
59,283,7140.32766,59
138,248,7144.204935,138
121,416,7150.593302,121
158,408,7156.874377,158
83,176,7159.376905,83
202,393,7165.410263,202
154,716,7176.605963,154
232,614,7186.12324,232
104,195,7188.87746,104
197,873,7202.58435,197
160,536,7210.73195,160
202,1022,7226.678884,202
149,599,7236.195841,149
221,658,7246.355847,221
255,836,7259.721296,255
153,728,7270.537368,153
194,1007,7286.137665,194
191,705,7297.20814,191
81,389,7303.249307,81
52,775,7315.467821,52
12,891,7329.634526,12
92,268,7333.924152,92
33,251,7337.965479,33
100,625,7347.963179,100
143,448,7354.510978,143
89,337,7360.065255,89
108,745,7371.336249,108
199,791,7382.951507,199
162,749,7394.281416,162
132,707,7404.69069,132
152,398,7410.583532,152
89,290,7415.335166,89
211,862,7427.618611,211
151,1179,7445.768159,151
48,255,7449.615954,48
134,1500,7472.027566,134
77,507,7479.656152,77
67,107,7481.380415,67
144,337,7486.504421,144
137,307,7490.800805,137
206,1118,7507.344539,206
158,642,7516.754783,158
55,326,7521.361006,55
162,779,7533.541015,162
60,133,7535.492895,60
209,745,7545.701049,209
160,518,7553.441389,160
197,1264,7572.180354,197
198,824,7584.504475,198
61,835,7596.581968,61
176,851,7609.899531,176
105,177,7612.442013,105
31,541,7621.429205,31
154,673,7631.768307,154
197,701,7642.313959,197
180,380,7648.217879,180
221,785,7660.246535,221
229,669,7670.994798,229
158,472,7677.89363,158
167,626,7687.712013,167
199,592,7697.1876,199
181,765,7709.092833,181
95,247,7713.010206,95
161,411,7719.307024,161
222,473,7726.818523,222
221,1131,7743.49235,221
218,901,7757.149548,218
156,836,7770.379333,156
176,458,7777.660612,176
192,1045,7793.575427,192
176,690,7803.770899,176
227,585,7813.044032,227
42,373,7819.059063,42
213,1096,7835.5117,213
34,80,7837.005635,34
68,926,7851.205372,68
18,376,7857.28017,18
80,318,7862.10061,80
35,1305,7883.396853,35
53,1024,7899.502162,53
125,971,7914.402903,125
34,789,7927.174811,34
18,117,7929.190344,18
69,262,7933.423474,69
29,232,7937.332959,29
38,679,7948.067805,38
170,820,7960.36268,170
189,509,7967.387327,189
201,767,7977.661411,201
166,356,7982.63062,166
174,529,7989.637133,174
39,125,7991.467695,39
120,516,7998.531154,120
186,464,8004.932211,186
92,142,8007.717319,92
195,644,8017.624496,195
214,922,8031.923148,214
138,467,8038.888829,138
211,963,8054.1648,211
206,961,8068.706641,206
204,712,8080.056173,204
150,1048,8096.482943,150
211,1621,8122.175761,211
98,166,8124.633916,98
166,281,8128.906547,166
241,1602,8153.763784,241
70,292,8158.34623,70
195,326,8163.930277,195
102,251,8167.85305,102
121,215,8170.872981,121
258,644,8180.920491,258
164,1236,8200.653279,164
227,1083,8216.723809,227
260,505,8224.601564,260
0,91,8226.286387,0
38,456,8233.852545,38
52,109,8235.695495,52
232,1245,8253.983464,232
98,1051,8270.277944,98
31,162,8273.360432,31
63,481,8281.017881,63
52,174,8283.501686,52
26,54,8284.119144,26
48,174,8287.308647,48
121,1134,8305.388439,121
181,580,8314.226313,181
251,716,8325.494118,251
193,523,8333.552054,193
61,241,8337.429399,61
199,643,8347.337136,199
218,460,8353.406651,218
191,570,8361.589359,191
231,1384,8379.597624,231
190,610,8388.105033,190
266,1892,8413.549346,266
152,296,8417.483279,152
199,539,8425.350961,199
213,691,8434.44522,213
131,706,8443.892269,131
227,942,8457.086514,227
239,995,8472.25362,239
78,272,8476.467496,78
200,454,8483.130529,200
171,197,8486.481368,171
97,124,8488.385483,97
93,240,8492.298843,93
175,720,8502.97295,175
331,993,8518.325896,331
