#{"env_id": null, "t_start": 1593475393.4799285}
r,l,t,score,ghosts,win,d
17,251,2287.166821,167,3,0,0
179,639,2293.656239,329,4,0,0
134,1083,2303.705323,284,1,0,0
-39,251,2305.931291,111,4,0,0
140,239,2308.40458,290,4,0,0
47,358,2311.900988,197,3,0,0
35,299,2314.859463,185,2,0,0
-4,296,2318.228302,146,4,0,0
170,235,2320.69563,320,4,0,0
508,1416,2333.357592,608,1,1,0
30,258,2335.902329,180,2,0,0
41,467,2340.252406,191,2,0,0
27,220,2342.567144,177,3,0,0
114,232,2344.991171,264,4,0,0
19,590,2350.455843,169,3,0,0
177,332,2354.006254,327,4,0,0
81,1218,2365.50456,231,1,0,0
141,1783,2382.351732,291,1,0,0
137,888,2390.248711,287,1,0,0
84,1353,2403.086331,234,1,0,0
1,442,2407.126511,151,1,0,0
86,760,2414.041916,236,1,0,0
88,993,2423.101134,238,1,0,0
154,718,2430.457121,304,4,0,0
84,258,2433.017544,234,2,0,0
139,1061,2443.196952,289,2,0,0
109,402,2447.334779,259,4,0,0
43,272,2450.114048,193,4,0,0
223,2590,2473.421745,323,1,1,0
114,520,2478.389,264,2,0,0
92,255,2481.029844,242,3,0,0
101,371,2484.701965,251,2,0,0
25,230,2486.721401,175,4,0,0
46,219,2489.059997,196,4,0,0
4,232,2491.534172,154,4,0,0
148,430,2495.428986,298,2,0,0
123,495,2500.249193,273,2,0,0
164,473,2505.124784,314,3,0,0
210,279,2507.924711,360,3,0,0
80,1033,2517.491697,230,1,0,0
107,361,2521.202182,257,2,0,0
162,723,2528.112309,312,2,0,0
62,213,2530.151951,212,4,0,0
70,485,2534.955197,220,2,0,0
-47,119,2536.231775,103,4,0,0
112,624,2542.296535,262,2,0,0
42,217,2544.362356,192,3,0,0
115,481,2549.139826,265,4,0,0
77,759,2556.324718,227,2,0,0
82,486,2561.19169,232,4,0,0
139,372,2564.99954,289,3,0,0
39,264,2567.689789,189,4,0,0
62,207,2570.042621,212,4,0,0
51,494,2574.288508,201,1,0,0
257,419,2578.770746,407,3,0,0
51,234,2581.277626,201,3,0,0
