#{"t_start": 1595900860.7994876, "env_id": null}
r,l,t,score,ghosts,level,win,d,map
-61.0,189,1327.767429,103,4,2,0,0,data/map1.bmp
-40.5,146,1329.561721,120,4,2,0,0,data/map2.bmp
-10.0,337,1332.471397,184,4,0,0,0,data/map2.bmp
-111.5,484,1337.771442,94,4,1,0,0,data/map2.bmp
-4.5,193,1339.962926,164,4,2,0,0,data/map2.bmp
-73.5,454,1344.451349,151,4,0,0,0,data/map2.bmp
-98.0,125,1345.737365,55,2,2,0,0,data/map1.bmp
-65.0,498,1350.961749,130,4,0,0,0,data/map2.bmp
-84.5,862,1359.812031,148,1,1,0,0,data/map1.bmp
-4.0,465,1364.188718,163,1,1,0,0,data/map2.bmp
-50.0,203,1366.493751,111,4,0,0,0,data/map2.bmp
-83.5,881,1374.648353,176,1,1,0,0,data/map2.bmp
-122.5,1156,1386.387441,99,1,1,0,0,data/map1.bmp
-70.5,288,1389.437412,86,4,1,0,0,data/map1.bmp
-77.0,207,1391.658856,89,4,1,0,0,data/map2.bmp
-0.5,368,1395.211552,165,1,1,0,0,data/map2.bmp
-124.5,112,1396.183853,33,4,2,0,0,data/map1.bmp
-76.5,517,1401.547354,77,2,2,0,0,data/map1.bmp
-56.0,670,1408.291013,173,1,1,0,0,data/map1.bmp
-83.0,143,1409.754759,74,4,2,0,0,data/map1.bmp
-72.5,164,1411.322194,83,4,2,0,0,data/map2.bmp
-88.0,1998,1431.071923,98,1,1,0,0,data/map1.bmp
-80.5,114,1432.359782,74,4,2,0,0,data/map2.bmp
-54.5,1036,1442.319696,143,1,1,0,0,data/map2.bmp
-45.0,431,1446.554869,126,4,2,0,0,data/map2.bmp
-72.5,229,1449.052355,83,4,0,0,0,data/map1.bmp
-77.0,324,1452.289293,76,4,0,0,0,data/map1.bmp
-41.0,319,1455.792186,135,4,0,0,0,data/map2.bmp
-132.0,135,1457.28687,19,4,1,0,0,data/map1.bmp
-123.5,90,1458.456104,31,2,2,0,0,data/map1.bmp
-45.5,2088,1477.743818,160,1,1,0,0,data/map2.bmp
-34.5,237,1480.313071,128,4,0,0,0,data/map2.bmp
-154.0,123,1481.722059,13,2,2,0,0,data/map1.bmp
-87.5,241,1484.401795,80,4,0,0,0,data/map1.bmp
-53.0,581,1490.411721,143,4,0,0,0,data/map1.bmp
-141.0,120,1491.706325,13,4,1,0,0,data/map1.bmp
-136,50,1492.142181,14,4,2,0,0,data/map1.bmp
-67.0,291,1495.306721,90,4,0,0,0,data/map2.bmp
-103.0,148,1496.738054,68,4,2,0,0,data/map2.bmp
-143.5,52,1497.208312,8,4,2,0,0,data/map1.bmp
-3.5,181,1499.321475,152,4,2,0,0,data/map1.bmp
-52.5,643,1505.958376,141,4,0,0,0,data/map2.bmp
