#{"t_start": 1608296931.5065482, "env_id": null}
r,l,t,score,ghosts,level,win,d,map
674.5,796,1586.265881,732,4,0,1,0,data/map1.bmp
926.5,319,1590.945081,928,4,0,1,0,data/map1.bmp
189.0,266,1594.460542,343,4,2,0,0,data/map2.bmp
1113.0,374,1599.602779,1217,4,2,1,0,data/map1.bmp
705.5,268,1602.936316,756,1,1,1,0,data/map2.bmp
769.5,430,1608.493771,823,4,0,1,0,data/map2.bmp
804,278,1612.094527,804,4,0,1,0,data/map2.bmp
307.5,251,1615.741577,462,4,1,0,0,data/map1.bmp
768.5,404,1621.517454,879,4,2,1,0,data/map2.bmp
955.5,375,1626.57389,966,2,2,1,0,data/map1.bmp
384.5,299,1630.463458,538,4,2,0,0,data/map1.bmp
973.0,338,1635.182606,974,2,2,1,0,data/map1.bmp
865.0,317,1639.215515,878,1,1,1,0,data/map1.bmp
19.0,429,1644.815618,209,4,0,0,0,data/map2.bmp
786.5,270,1648.395615,837,1,1,1,0,data/map1.bmp
882,296,1652.800682,882,4,1,1,0,data/map1.bmp
284.0,222,1655.519823,439,4,2,0,0,data/map2.bmp
731.0,388,1660.99193,732,4,2,1,0,data/map2.bmp
861.5,380,1665.704082,915,4,0,1,0,data/map1.bmp
275.0,358,1670.607352,438,2,2,0,0,data/map1.bmp
825.5,324,1675.213496,877,2,2,1,0,data/map1.bmp
725.0,325,1679.438972,826,4,0,1,0,data/map1.bmp
762.5,387,1684.759738,814,4,0,1,0,data/map1.bmp
721.5,345,1689.612489,772,4,0,1,0,data/map1.bmp
758,259,1692.803052,758,2,1,1,0,data/map2.bmp
880,309,1697.198292,880,2,2,1,0,data/map1.bmp
726.0,374,1701.625523,785,2,1,1,0,data/map2.bmp
333.5,352,1706.43845,490,2,2,0,0,data/map1.bmp
884.5,280,1710.260813,885,4,0,1,0,data/map1.bmp
811,244,1713.543559,861,2,1,1,0,data/map2.bmp
653,283,1717.259017,753,4,2,1,0,data/map2.bmp
830.5,377,1722.379368,884,4,1,1,0,data/map2.bmp
737.0,332,1726.913937,743,2,1,1,0,data/map2.bmp
760,246,1730.165233,760,2,1,1,0,data/map2.bmp
810,246,1733.448708,810,2,1,1,0,data/map2.bmp
800.0,267,1736.872872,806,1,1,1,0,data/map2.bmp
797.5,403,1742.360474,911,4,0,1,0,data/map1.bmp
838,267,1745.892795,838,1,1,1,0,data/map1.bmp
831.5,356,1750.636431,888,4,1,1,0,data/map2.bmp
169.5,459,1757.059002,341,4,1,0,0,data/map1.bmp
